id,target
img_0001.jpeg,0.06188659
img_0002.jpeg,0.39672166
img_0003.jpeg,0.8703527
img_0004.jpeg,0.0049649435
img_0005.jpeg,0.027262835
img_0006.jpeg,0.025961902
img_0007.jpeg,0.5053119
img_0008.jpeg,0.038418602
img_0009.jpeg,0.012210996
img_0010.jpeg,0.0380089
img_0011.jpeg,0.011790019
img_0012.jpeg,0.12952615
img_0013.jpeg,0.015723579
img_0014.jpeg,0.010288734
img_0015.jpeg,0.20985088
img_0016.jpeg,0.9782919
img_0017.jpeg,0.032715056
img_0018.jpeg,0.006301172
img_0019.jpeg,0.008863476
img_0020.jpeg,0.16880676
img_0021.jpeg,0.0014014144
img_0022.jpeg,4.0355346e-05
img_0023.jpeg,0.9200121
img_0024.jpeg,0.033793658
img_0025.jpeg,0.004798789
img_0026.jpeg,0.5415846
img_0027.jpeg,0.004174559
img_0028.jpeg,0.10660857
img_0029.jpeg,0.07666843
img_0030.jpeg,0.16069938
img_0031.jpeg,0.81319547
img_0032.jpeg,0.0075017097
img_0033.jpeg,0.377756
img_0034.jpeg,0.8901959
img_0035.jpeg,0.14783612
img_0036.jpeg,0.20926034
img_0037.jpeg,0.023266044
img_0038.jpeg,0.0024471846
img_0039.jpeg,0.09473988
img_0040.jpeg,0.93164366
img_0041.jpeg,0.0064858543
img_0042.jpeg,0.0031533842
img_0043.jpeg,0.0023503285
img_0044.jpeg,0.77461904
img_0045.jpeg,0.011526965
img_0046.jpeg,0.03719644
img_0047.jpeg,0.2201243
img_0048.jpeg,0.0046013766
img_0049.jpeg,0.84450036
img_0050.jpeg,0.060969435
img_0051.jpeg,0.43158907
img_0052.jpeg,0.8708639
img_0053.jpeg,0.02547904
img_0054.jpeg,0.46427798
img_0055.jpeg,0.29077494
img_0056.jpeg,0.8296876
img_0057.jpeg,0.01981352
img_0058.jpeg,0.0051318784
img_0059.jpeg,0.51202
img_0060.jpeg,0.20303136
img_0061.jpeg,0.93028325
img_0062.jpeg,0.039137278
img_0063.jpeg,0.9978011
img_0064.jpeg,0.006557691
img_0065.jpeg,0.002342718
img_0066.jpeg,0.6464988
img_0067.jpeg,0.60358095
img_0068.jpeg,0.34033543
img_0069.jpeg,0.2539319
img_0070.jpeg,0.79043645
img_0071.jpeg,0.4234383
img_0072.jpeg,0.068067424
img_0073.jpeg,0.19739082
img_0074.jpeg,0.14125292
img_0075.jpeg,0.35566506
img_0076.jpeg,0.059022073
img_0077.jpeg,0.3966115
img_0078.jpeg,0.033062626
img_0079.jpeg,0.8878179
img_0080.jpeg,0.3354088
img_0081.jpeg,0.00032427628
img_0082.jpeg,0.61879367
img_0083.jpeg,0.017562628
img_0084.jpeg,0.0028312504
img_0085.jpeg,0.047293086
img_0086.jpeg,0.0030899388
img_0087.jpeg,0.013617964
img_0088.jpeg,0.7204173
img_0089.jpeg,0.4125418
img_0090.jpeg,0.9794585
img_0091.jpeg,0.038315564
img_0092.jpeg,0.07575477
img_0093.jpeg,0.6166421
img_0094.jpeg,0.09778586
img_0095.jpeg,0.21054225
img_0096.jpeg,0.7265613
img_0097.jpeg,0.4125793
img_0098.jpeg,0.031843513
